cycle,sm,cta,warp,pc,instruction,event,active_mask,eligible,selected,stall_reason,memory_transaction_count,cache_result,divergence_depth
42,1,0,9,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
42,1,0,10,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
42,1,0,10,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
43,0,0,2,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
43,0,0,3,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
43,0,0,3,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
43,1,0,10,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
43,1,0,11,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
43,1,0,11,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
44,0,0,3,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
44,0,0,4,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
44,0,0,4,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
44,1,0,11,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
44,1,0,12,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
44,1,0,12,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
45,0,0,4,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
45,0,0,5,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
45,0,0,5,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
45,1,0,12,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
45,1,0,13,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
45,1,0,13,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
46,0,0,5,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
46,0,0,6,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
46,0,0,6,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
46,1,0,13,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
46,1,0,14,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
46,1,0,14,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
47,0,0,6,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
47,0,0,7,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
47,0,0,7,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
47,1,0,14,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
47,1,0,15,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
47,1,0,15,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
48,0,0,7,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
48,0,0,0,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
48,0,0,0,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
48,0,0,0,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
48,1,0,15,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
48,1,0,8,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
48,1,0,8,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
48,1,0,8,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
49,0,0,1,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
49,0,0,1,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
49,0,0,1,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
49,1,0,9,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
49,1,0,9,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
49,1,0,9,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
50,0,0,2,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
50,0,0,2,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
50,0,0,2,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
50,1,0,10,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
50,1,0,10,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
50,1,0,10,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
51,0,0,3,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
51,0,0,3,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
51,0,0,3,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
51,1,0,11,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
51,1,0,11,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
51,1,0,11,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
52,0,0,4,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
52,0,0,4,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
52,0,0,4,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
52,1,0,12,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
52,1,0,12,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
52,1,0,12,10,"ST.GLOBAL [r4 + 65536], r3",MEMORY_REQUEST,11111111111111110000000000000000,1,0,"",,,
53,0,0,1,11,"",MEMORY_RETURN,11111111111111110000000000000000,1,0,"",,,
53,0,0,5,10,"ST.GLOBAL [r4 + 65536], r3",ISSUE,11111111111111110000000000000000,1,1,"",,,
53,0,0,5,10,"ST.GLOBAL [r4 + 65536], r3",EXECUTE,11111111111111110000000000000000,1,0,"",,,
